1;arms_factory;1682.00;0.00;1038.00;4.00;0
1;industrial_complex;1723.00;0.00;1000.00;2.00;0
1;air_base;1687.00;0.00;1040.00;3.00;0
1;bunker;1689.00;0.00;1033.00;1.00;0
1;anti_air_building;1731.00;0.00;1000.00;0.00;0
1;synthetic_refinery;1689.00;0.00;1031.00;1.00;0
1;radar_station;1685.00;0.00;1027.00;0.00;0
1;nuclear_reactor;1740.00;0.00;1059.00;0.00;0
1;naval_base;1732.00;10.00;990.00;4.00;1122
1;coastal_bunker;1723.00;13.00;1066.00;3.00;0
1;dockyard;1732.00;9.00;990.00;0.00;0
2;arms_factory;1793.00;0.00;857.00;-1.00;0
2;industrial_complex;1898.00;0.00;799.00;0.00;0
2;air_base;1902.00;0.00;799.00;3.00;0
2;bunker;1757.00;0.00;908.00;4.00;0
2;anti_air_building;1892.00;0.00;815.00;3.00;0
2;synthetic_refinery;1847.00;0.00;775.00;1.00;0
2;radar_station;1840.00;0.00;865.00;-1.00;0
2;nuclear_reactor;1851.00;0.00;819.00;4.00;0
2;naval_base;1817.00;12.00;781.00;-1.00;948
2;coastal_bunker;1817.00;11.00;781.00;1.00;0
2;dockyard;1846.00;10.00;776.00;-1.00;0
3;arms_factory;1777.00;0.00;936.00;3.00;0
3;industrial_complex;1714.00;0.00;930.00;0.00;0
3;air_base;1775.00;0.00;940.00;-1.00;0
3;bunker;1732.00;0.00;931.00;2.00;0
3;anti_air_building;1763.00;0.00;940.00;0.00;0
3;synthetic_refinery;1761.00;0.00;941.00;2.00;0
3;radar_station;1727.00;0.00;962.00;2.00;0
3;nuclear_reactor;1741.00;0.00;959.00;1.00;0
3;naval_base;1718.00;13.00;969.00;2.00;1108
3;coastal_bunker;1709.00;9.00;941.00;1.00;0
3;dockyard;1709.00;10.00;941.00;-1.00;0
4;arms_factory;2297.00;0.00;668.00;2.00;0
4;industrial_complex;2300.00;0.00;665.00;3.00;0
4;air_base;2302.00;0.00;662.00;4.00;0
4;bunker;2305.00;0.00;658.00;0.00;0
4;anti_air_building;2309.00;0.00;668.00;0.00;0
4;synthetic_refinery;2304.00;0.00;660.00;4.00;0
4;radar_station;2303.00;0.00;672.00;4.00;0
4;nuclear_reactor;2291.00;0.00;667.00;4.00;0
5;arms_factory;2367.00;0.00;762.00;-1.00;0
5;industrial_complex;2359.00;0.00;758.00;0.00;0
5;air_base;2343.00;0.00;733.00;-1.00;0
5;bunker;2328.00;0.00;739.00;4.00;0
5;anti_air_building;2332.00;0.00;740.00;3.00;0
5;synthetic_refinery;2347.00;0.00;755.00;3.00;0
5;radar_station;2341.00;0.00;734.00;-1.00;0
5;nuclear_reactor;2362.00;0.00;754.00;3.00;0
6;arms_factory;2333.00;0.00;776.00;4.00;0
6;industrial_complex;2337.00;0.00;778.00;-1.00;0
6;air_base;2341.00;0.00;766.00;2.00;0
6;bunker;2323.00;0.00;764.00;4.00;0
6;anti_air_building;2345.00;0.00;757.00;1.00;0
6;synthetic_refinery;2334.00;0.00;777.00;2.00;0
6;radar_station;2336.00;0.00;773.00;2.00;0
6;nuclear_reactor;2323.00;0.00;775.00;1.00;0
7;arms_factory;2318.00;0.00;753.00;-1.00;0
7;industrial_complex;2321.00;0.00;755.00;-1.00;0
7;air_base;2310.00;0.00;726.00;2.00;0
7;bunker;2302.00;0.00;733.00;1.00;0
7;anti_air_building;2304.00;0.00;737.00;3.00;0
7;synthetic_refinery;2317.00;0.00;735.00;2.00;0
7;radar_station;2322.00;0.00;748.00;3.00;0
7;nuclear_reactor;2305.00;0.00;743.00;0.00;0
8;arms_factory;2319.00;0.00;725.00;4.00;0
8;industrial_complex;2353.00;0.00;723.00;2.00;0
8;air_base;2337.00;0.00;728.00;4.00;0
8;bunker;2327.00;0.00;737.00;2.00;0
8;anti_air_building;2339.00;0.00;729.00;3.00;0
8;synthetic_refinery;2340.00;0.00;706.00;3.00;0
8;radar_station;2315.00;0.00;724.00;0.00;0
8;nuclear_reactor;2321.00;0.00;728.00;1.00;0
9;arms_factory;1785.00;0.00;1022.00;4.00;0
9;industrial_complex;1792.00;0.00;1081.00;4.00;0
9;air_base;1782.00;0.00;1026.00;2.00;0
9;bunker;1784.00;0.00;1028.00;0.00;0
9;anti_air_building;1765.00;0.00;1074.00;2.00;0
9;synthetic_refinery;1806.00;0.00;965.00;3.00;0
9;radar_station;1768.00;0.00;1071.00;2.00;0
9;nuclear_reactor;1794.00;0.00;966.00;1.00;0
10;arms_factory;1913.00;0.00;775.00;2.00;0
10;industrial_complex;1932.00;0.00;806.00;-1.00;0
10;air_base;1955.00;0.00;755.00;3.00;0
10;bunker;1905.00;0.00;761.00;3.00;0
10;anti_air_building;1900.00;0.00;764.00;2.00;0
10;synthetic_refinery;1952.00;0.00;812.00;1.00;0
10;radar_station;1878.00;0.00;759.00;-1.00;0
10;nuclear_reactor;1971.00;0.00;789.00;4.00;0
10;naval_base;1878.00;10.00;756.00;-1.00;927
10;coastal_bunker;1878.00;10.00;756.00;2.00;0
10;dockyard;1878.00;12.00;756.00;1.00;0
